HomeTeam,AwayTeam,HomeConference,AwayConference,HomeConfPower,AwayConfPower,HomeActualScore,AwayActualScore,HomeMostLikely,AwayMostLikely,HomeMean,AwayMean,HomeWinProbability,AwayWinProbability,HomeWins,HomeLoses,AwayWins,AwayLoses,Date
Illinois St,Illinois,MVC,B10,0.381,0.604,10,1,4,5,4.96,5.72,47,53,2,7,6,4,20220405
Southern Miss,Mississippi,SBC,SEC,0.557,0.857,10,7,3,5,3.85,5.66,33,67,9,3,10,1,20220405
Mississippi St,TN Martin,SEC,OVC,0.857,0.444,13,2,9,3,9.80,3.35,90,10,7,4,4,6,20220405
New Mexico St,New Mexico,CUSA,MWC,0.619,0.449,4,7,8,7,8.56,7.81,57,43,8,4,8,5,20220405
Oakland,Bowling Green,HL,MAC,0.21,0.376,3,2,6,5,7.19,6.27,60,40,2,10,5,5,20220405
Wichita St,Oklahoma St,AAC,B12,0.593,0.703,3,5,4,7,4.95,8.04,31,69,3,8,6,4,20220405
St Bonaventure,Binghamton,A10,AEC,0.488,0.361,7,3,4,7,4.20,7.58,27,73,7,3,3,6,20220405
Northeastern,Boston College,CAA,ACC,0.395,0.772,2,4,4,5,5.36,5.60,48,52,4,4,4,4,20220405
Virginia Tech,Marshall,ACC,SBC,0.772,0.557,6,2,8,3,9.12,3.68,87,13,8,3,5,6,20220405
Evansville,Indiana,MVC,B10,0.381,0.604,8,4,6,5,6.49,6.32,54,46,3,8,6,6,20220405
MA Lowell,Dartmouth,AEC,Ivy,0.361,0.191,14,2,5,4,6.18,6.34,52,48,3,6,0,6,20220405
E Illinois,Bellarmine,OVC,ASUN,0.444,0.374,11,8,7,5,7.80,5.54,69,31,3,6,1,9,20220405
Purdue,N Illinois,B10,MAC,0.604,0.376,17,14,7,4,8.44,5.24,74,26,11,1,6,4,20220405
WI Milwaukee,Valparaiso,HL,MVC,0.21,0.381,3,2,4,5,5.15,5.88,47,53,1,9,2,6,20220405
St Joseph's PA,Lehigh,A10,PL,0.488,0.348,15,11,7,5,7.98,5.85,65,35,3,7,2,4,20220405
Penn,Delaware St,Ivy,NEC,0.191,0.13,4,3,9,2,9.83,2.57,95,6,0,6,1,7,20220405
Georgetown,MD E Shore,BE,NEC,0.4,0.13,17,1,8,3,8.81,3.39,88,12,3,8,1,11,20220405
Manhattan,Stony Brook,MAAC,CAA,0.321,0.395,9,2,5,6,5.65,7.04,43,57,4,7,3,6,20220405
Xavier,Miami OH,BE,MAC,0.4,0.376,17,2,6,4,7.18,5.02,67,33,7,5,5,6,20220405
F Dickinson,Iona,NEC,MAAC,0.13,0.321,5,2,7,5,8.28,5.33,73,27,0,10,1,8,20220406
Siena,Army,MAAC,PL,0.321,0.348,3,8,3,7,4.25,8.64,24,76,1,8,2,7,20220406
Seton Hall,Princeton,BE,Ivy,0.4,0.191,14,3,6,4,6.93,4.42,72,28,4,7,1,7,20220406
Mt St Mary's,Coppin St,MAAC,NEC,0.321,0.13,7,1,7,6,8.19,7.88,55,45,6,5,2,7,20220406
Abilene Chr,Air Force,WAC,MWC,0.473,0.449,4,9,6,7,7.23,7.87,49,51,7,5,4,7,20220406
W Carolina,Gardner Webb,SC,BSo,0.644,0.515,14,2,6,5,7.90,6.20,65,35,5,7,6,7,20220406
W Illinois,Illinois St,OVC,MVC,0.444,0.381,7,15,3,6,3.89,7.76,24,76,2,7,2,7,20220406
Purdue,Indiana St,B10,MVC,0.604,0.381,6,10,5,6,5.94,7.08,45,55,11,1,5,6,20220406
Michigan,PFW,B10,HL,0.604,0.21,3,6,9,3,10.32,4.05,87,13,6,4,1,10,20220406
Florida St,Stetson,ACC,ASUN,0.772,0.374,5,4,5,2,6.54,2.88,86,14,11,0,7,5,20220406
Grand Canyon,Texas Tech,WAC,B12,0.473,0.703,8,7,4,5,4.53,6.28,38,61,7,4,2,7,20220406
Youngstown St,Pittsburgh,HL,ACC,0.21,0.772,1,9,3,6,3.71,7.50,24,76,1,10,7,3,20220406
Duke,Longwood,ACC,BSo,0.772,0.515,6,5,8,3,8.89,3.53,87,13,7,5,2,9,20220406
Connecticut,Merrimack,BE,MAAC,0.4,0.321,10,1,9,2,10.23,2.60,95,5,2,7,1,9,20220406
Penn St,Bucknell,B10,PL,0.604,0.348,7,6,6,4,6.89,4.70,71,29,8,1,5,4,20220406
Miami FL,Florida Intl,ACC,CUSA,0.772,0.619,17,1,7,2,8.92,3.13,90,10,9,3,11,2,20220406
Virginia,Liberty,ACC,CUSA,0.772,0.619,7,2,6,4,6.67,4.71,70,30,7,3,7,4,20220406
Nicholls St,Jackson St,SLC,SWAC,0.648,0.231,9,6,6,3,7.75,4.17,79,21,5,7,9,2,20220406
Lamar,Northwestern LA,SLC,SLC,0.648,0.648,9,6,4,3,4.90,3.97,63,37,9,4,4,7,20220406
McNeese St,Prairie View,SLC,SWAC,0.648,0.231,7,2,8,2,9.37,2.92,92,8,9,1,4,8,20220406
NE Omaha,Nebraska,SL,B10,0.338,0.604,6,5,3,5,4.08,6.09,35,65,3,8,4,6,20220406
UT San Antonio,SF Austin,AAC,SLC,0.593,0.648,14,4,8,4,9.90,4.90,82,18,11,3,5,7,20220406
Bradley,Iowa,MVC,B10,0.381,0.604,8,9,4,5,4.46,6.13,39,61,2,7,4,6,20220406
Missouri,Kansas,SEC,B12,0.857,0.703,14,6,7,4,8.18,5.16,74,26,6,6,10,1,20220406
Tarleton St,UT Arlington,WAC,WAC,0.473,0.473,13,16,5,6,5.57,7.24,40,59,4,8,3,5,20220406
SE Louisiana,Troy,SLC,SBC,0.648,0.557,5,4,5,6,5.76,6.70,46,54,10,2,11,1,20220406
Southern Univ,Tulane,SWAC,AAC,0.231,0.593,5,19,3,8,3.92,9.31,18,82,6,4,8,3,20220406
VMI,James Madison,SC,SBC,0.644,0.557,2,12,5,6,5.56,7.38,40,60,10,1,5,6,20220406
Louisiana Tech,Louisiana,CUSA,SBC,0.619,0.557,6,8,5,4,6.31,5.05,64,36,6,5,5,7,20220406
West Virginia,Marshall,B12,SBC,0.703,0.557,17,8,6,3,7.65,4.15,79,21,11,0,5,6,20220406
Elon,Wake Forest,CAA,ACC,0.395,0.772,4,6,3,7,4.16,8.22,24,76,5,6,10,3,20220406
Wright St,Cincinnati,HL,B12,0.21,0.703,4,7,7,6,8.12,7.65,53,47,3,6,5,6,20220406
Wagner,Columbia,NEC,Ivy,0.13,0.191,2,10,4,9,4.50,9.74,19,81,3,7,1,6,20220406
Rider,Delaware,MAAC,CAA,0.321,0.395,2,6,4,5,5.21,6.12,42,57,4,3,5,6,20220406
East Carolina,Old Dominion,AAC,SBC,0.593,0.557,7,8,6,5,6.61,5.87,59,41,5,6,3,7,20220406
High Point,UNC Greensboro,BSo,SC,0.515,0.644,6,17,4,7,4.85,7.84,31,69,9,3,5,5,20220406
North Carolina,South Carolina,ACC,SEC,0.772,0.857,2,15,5,4,5.92,4.46,66,34,12,0,9,3,20220406
Winthrop,Charlotte,BSo,AAC,0.515,0.593,9,6,4,8,4.91,9.48,24,76,7,4,4,6,20220406
Coastal Car,Col Charleston,SBC,CAA,0.557,0.395,7,2,7,5,7.65,5.35,70,30,10,2,7,4,20220406
Florida,Arkansas,SEC,SEC,0.857,0.857,1,8,4,5,5.10,5.70,48,52,11,1,10,1,20220407
Texas A&M,Kentucky,SEC,SEC,0.857,0.857,3,2,5,4,6.66,5.09,65,35,6,4,9,1,20220407
BYU,Santa Clara,B12,WCC,0.703,0.397,5,1,5,3,6.00,4.15,70,30,7,4,6,4,20220407
Seattle,Utah Valley,WAC,WAC,0.473,0.473,5,6,6,5,6.51,6.10,56,44,2,9,4,8,20220407
Northeastern,Elon,CAA,CAA,0.395,0.395,7,3,3,2,3.89,3.40,60,40,4,4,5,6,20220408
Hawaii,UC Riverside,BWC,BWC,0.556,0.556,5,2,6,3,7.69,3.78,81,19,9,2,8,5,20220408
Villanova,Butler,BE,BE,0.4,0.4,13,3,5,4,6.75,5.00,67,33,6,4,4,6,20220408
G Washington,Dayton,A10,A10,0.488,0.488,9,1,5,4,5.46,5.79,50,50,6,4,6,6,20220408
Massachusetts,Fordham,A10,A10,0.488,0.488,8,5,6,5,7.21,7.15,53,46,3,3,2,9,20220408
St Joseph's PA,George Mason,A10,A10,0.488,0.488,10,9,6,5,7.71,6.23,63,37,3,7,7,4,20220408
Houston Chr,Nicholls St,SLC,SLC,0.648,0.648,1,11,5,6,5.33,6.68,42,58,7,3,5,7,20220408
Canisius,Iona,MAAC,MAAC,0.321,0.321,12,6,9,3,10.17,3.80,89,11,0,6,1,8,20220408
Manhattan,Siena,MAAC,MAAC,0.321,0.321,2,11,7,5,8.21,6.21,66,34,4,7,1,8,20220408
Marshall,MTSU,SBC,CUSA,0.557,0.619,11,7,4,5,5.10,6.16,44,56,5,6,6,5,20220408
Merrimack,Mt St Mary's,MAAC,MAAC,0.321,0.321,8,6,7,6,8.13,6.76,62,38,1,9,6,5,20220408
C Michigan,N Illinois,MAC,MAC,0.376,0.376,8,2,7,3,8.53,3.64,85,15,2,10,6,4,20220408
Akron,W Michigan,MAC,MAC,0.376,0.376,10,6,5,7,5.92,8.38,37,63,4,7,0,10,20220408
Rider,Fairfield,MAAC,MAAC,0.321,0.321,2,17,5,6,5.24,6.51,43,57,4,3,5,4,20220408
F Dickinson,Bryant,NEC,AEC,0.13,0.361,12,4,4,7,4.53,8.22,27,73,0,10,3,5,20220408
Wagner,Sacred Heart,NEC,MAAC,0.13,0.321,10,2,6,5,7.00,6.29,55,45,3,7,4,5,20220408
Stony Brook,SUNY Albany,CAA,AEC,0.395,0.361,12,3,6,5,6.75,5.68,61,39,3,6,3,4,20220408
Central Conn,LIU Brooklyn,NEC,NEC,0.13,0.13,3,4,5,4,6.22,4.75,66,34,2,1,4,8,20220408
Michigan,CS Fullerton,B10,BWC,0.604,0.556,2,1,6,5,7.57,5.81,65,35,6,4,3,8,20220408
Air Force,Cal Baptist,MWC,WAC,0.449,0.473,11,5,7,6,7.73,7.34,56,44,4,7,4,8,20220408
W Carolina,ETSU,SC,SC,0.644,0.644,3,5,7,6,7.47,7.38,54,46,5,7,10,2,20220408
UNC Asheville,NC A&T,BSo,CAA,0.515,0.395,5,6,6,5,6.68,5.84,60,40,6,5,3,6,20220408
Ohio,Toledo,MAC,MAC,0.376,0.376,6,5,5,4,6.16,6.14,53,47,3,7,4,6,20220408
Belmont,Tennessee Tech,MVC,OVC,0.381,0.444,8,7,6,5,6.76,5.79,60,40,1,10,9,3,20220408
Winthrop,Charleston So,BSo,BSo,0.515,0.515,9,3,7,6,7.36,7.41,53,47,7,4,8,2,20220408
William & Mary,Towson,CAA,CAA,0.395,0.395,15,1,7,4,7.83,4.29,79,21,4,7,3,5,20220408
Notre Dame,Clemson,ACC,ACC,0.772,0.772,4,1,6,5,6.47,5.24,63,37,8,1,10,1,20220408
UC Davis,CS Bakersfield,BWC,BWC,0.556,0.556,7,5,5,6,5.84,6.46,48,52,8,4,3,9,20220408
Boston College,Pittsburgh,ACC,ACC,0.772,0.772,3,13,5,6,6.07,7.34,44,56,4,4,7,3,20220408
CS Northridge,UC Santa Barbara,BWC,BWC,0.556,0.556,10,13,5,6,5.10,6.24,43,56,2,7,9,2,20220408
Campbell,SC Upstate,CAA,BSo,0.395,0.515,17,2,7,5,8.07,5.70,68,32,4,7,6,4,20220408
Cincinnati,Houston,B12,B12,0.703,0.703,4,5,6,5,6.30,6.45,52,48,5,6,7,3,20220408
Mercer,Citadel,SC,SC,0.644,0.644,8,2,7,4,8.11,4.83,76,24,9,3,7,4,20220408
Coastal Car,Georgia St,SBC,SBC,0.557,0.557,8,14,6,4,7.80,5.12,72,28,10,2,9,2,20220408
Col Charleston,James Madison,CAA,SBC,0.395,0.557,6,3,6,5,6.68,5.23,65,35,7,4,5,6,20220408
Wake Forest,Duke,ACC,ACC,0.772,0.772,5,2,7,5,7.59,5.63,67,33,10,3,7,5,20220408
Radford,Gardner Webb,BSo,BSo,0.515,0.515,2,12,5,6,6.28,6.95,48,52,5,5,6,7,20220408
San Francisco,Gonzaga,WCC,WCC,0.397,0.397,3,11,4,6,4.54,6.31,38,62,6,6,2,7,20220408
High Point,Longwood,BSo,BSo,0.515,0.515,2,3,6,5,6.85,5.73,61,39,9,3,2,9,20220408
North Florida,Jacksonville,ASUN,ASUN,0.374,0.374,9,6,5,4,5.50,5.38,54,46,7,5,4,7,20220408
Kent,Bowling Green,MAC,MAC,0.376,0.376,5,9,7,5,8.17,5.36,72,28,3,6,5,5,20220408
Louisville,North Carolina,ACC,ACC,0.772,0.772,9,13,6,5,6.46,5.92,57,43,8,2,12,0,20220408
St Mary's CA,Pepperdine,WCC,WCC,0.397,0.397,11,1,4,3,4.70,4.95,51,49,8,4,3,9,20220408
Charlotte,Southern Miss,AAC,SBC,0.593,0.557,1,2,4,5,5.39,5.97,48,51,4,6,9,3,20220408
UNC Wilmington,Hofstra,CAA,CAA,0.395,0.395,3,1,6,3,7.43,4.06,78,22,7,5,3,7,20220408
Liberty,FGCU,CUSA,ASUN,0.619,0.374,11,3,6,5,6.84,5.84,60,40,7,4,4,8,20220408
WKU,Florida Intl,CUSA,CUSA,0.619,0.619,7,4,6,5,6.72,5.34,64,36,10,1,11,2,20220408
Georgia Tech,Florida St,ACC,ACC,0.772,0.772,7,3,6,5,7.20,6.71,56,44,10,2,11,0,20220408
East Carolina,Wichita St,AAC,AAC,0.593,0.593,6,5,6,4,6.92,4.34,74,26,5,6,3,8,20220408
FL Atlantic,UAB,AAC,AAC,0.593,0.593,3,4,6,5,6.88,5.59,63,37,10,1,9,2,20220408
Stetson,Kennesaw,ASUN,CUSA,0.374,0.619,1,11,4,5,5.31,6.24,46,54,7,5,5,8,20220408
Tennessee,Missouri,SEC,SEC,0.857,0.857,8,3,6,3,7.93,4.06,81,19,11,0,6,6,20220408
West Virginia,Baylor,B12,B12,0.703,0.703,7,6,5,4,5.92,5.50,57,43,11,0,8,3,20220408
VCU,Davidson,A10,A10,0.488,0.488,7,6,5,4,6.37,5.13,63,37,2,9,4,6,20220408
Cent Arkansas,Jacksonville St,ASUN,CUSA,0.374,0.619,3,4,4,5,5.06,5.52,49,51,4,6,10,2,20220408
Abilene Chr,Sam Houston St,WAC,CUSA,0.473,0.619,8,12,6,5,6.69,7.07,50,50,7,5,2,9,20220408
Lipscomb,E Kentucky,ASUN,ASUN,0.374,0.374,7,2,5,4,5.49,4.94,58,42,3,8,0,11,20220408
Delaware,St Peter's,CAA,MAAC,0.395,0.321,12,4,10,3,11.07,4.04,89,11,5,6,3,8,20220408
Texas St,Ga Southern,SBC,SBC,0.557,0.557,4,7,5,4,5.95,6.18,51,49,7,4,6,5,20220408
Grambling,Ark Pine Bluff,SWAC,SWAC,0.231,0.231,14,3,9,6,10.76,6.91,73,27,4,7,0,12,20220408
Ark Little Rock,UT Arlington,OVC,WAC,0.444,0.473,5,1,5,4,5.56,5.49,54,46,5,6,3,5,20220408
Kansas,Illinois St,B12,MVC,0.703,0.381,13,9,5,4,5.82,5.88,53,47,10,1,2,7,20220408
Jackson St,MS Valley St,SWAC,SWAC,0.231,0.231,11,2,9,4,10.89,5.18,82,18,9,2,1,4,20220408
Tarleton St,Lamar,WAC,SLC,0.473,0.648,1,4,5,7,5.23,7.28,37,63,4,8,9,4,20220408
ULM,Troy,SBC,SBC,0.557,0.557,2,7,5,6,5.69,6.70,45,55,5,5,11,1,20220408
Oregon,Ball St,B10,MAC,0.604,0.376,13,7,5,3,6.77,4.01,75,25,10,2,6,5,20220408
SE Louisiana,TAM C. Christi,SLC,SLC,0.648,0.648,4,18,7,6,7.26,6.57,58,42,10,2,6,6,20220408
Evansville,S Illinois,MVC,MVC,0.381,0.381,4,14,5,4,6.11,6.18,53,47,3,8,8,3,20220408
Samford,VMI,SC,SC,0.644,0.644,4,2,6,4,7.89,5.09,73,27,5,7,10,1,20220408
Miami FL,Virginia,ACC,ACC,0.772,0.772,6,2,5,4,5.37,5.43,53,47,9,3,7,3,20220408
Alabama St,Alabama A&M,SWAC,SWAC,0.231,0.231,10,4,8,3,9.69,4.10,86,14,5,7,2,9,20220408
Creighton,Georgetown,BE,BE,0.4,0.4,8,5,6,4,7.07,4.31,74,26,5,4,3,8,20220408
Dallas Bap,Missouri St,CUSA,MVC,0.619,0.381,4,3,6,5,7.19,5.69,64,36,8,3,4,6,20220408
Florida,Arkansas,SEC,SEC,0.857,0.857,7,2,4,5,5.10,5.70,48,52,11,1,10,1,20220408
Texas A&M,Kentucky,SEC,SEC,0.857,0.857,3,7,5,4,6.66,5.09,65,35,6,4,9,1,20220408
New Orleans,McNeese St,SLC,SLC,0.648,0.648,9,5,6,5,6.61,6.85,51,49,6,4,9,1,20220408
Nebraska,Rutgers,B10,B10,0.604,0.604,5,7,5,6,5.55,6.34,47,53,4,6,4,7,20220408
Tulane,South Florida,AAC,AAC,0.593,0.593,8,5,5,4,6.41,5.01,65,35,8,3,6,5,20220408
Texas Tech,Kansas St,B12,B12,0.703,0.703,6,3,6,4,7.59,4.73,75,25,2,7,6,5,20220408
New Mexico St,CS Sacramento,CUSA,WAC,0.619,0.473,5,6,6,5,6.45,6.75,51,49,8,4,7,5,20220408
Utah Tech,Grand Canyon,WAC,WAC,0.473,0.473,2,7,4,6,4.63,7.21,33,67,4,8,7,4,20220408
Utah,UCLA,B12,B10,0.703,0.604,5,6,4,6,4.69,7.41,32,68,10,2,9,3,20220408
Cal Poly,Long Beach St,BWC,BWC,0.556,0.556,4,1,4,3,4.73,4.42,56,43,5,6,5,6,20220408
Fresno St,New Mexico,MWC,MWC,0.449,0.449,11,1,7,5,8.26,5.86,68,32,5,6,8,5,20220408
Arizona,Washington St,B12,MWC,0.703,0.449,5,11,6,4,7.00,4.87,69,31,7,4,3,9,20220408
Pacific,Loy Marymount,WCC,WCC,0.397,0.397,3,7,5,6,6.17,7.69,42,57,7,5,7,5,20220408
UNLV,Nevada,MWC,MWC,0.449,0.449,7,9,7,6,8.29,8.40,52,48,8,4,7,5,20220408
USC,Oregon St,B10,I Ind,0.604,0.75,1,9,4,6,4.33,6.99,32,68,9,2,7,3,20220408
Portland,San Diego,WCC,WCC,0.397,0.397,6,2,4,5,4.91,5.99,44,56,5,6,2,9,20220408
California,Washington,ACC,B10,0.772,0.604,4,6,5,4,6.26,4.86,65,35,6,5,4,8,20220408
Memphis,UCF,AAC,B12,0.593,0.703,6,1,4,6,5.07,7.47,35,65,7,4,8,3,20220408
South Carolina,Georgia,SEC,SEC,0.857,0.857,2,3,4,5,5.39,5.94,49,51,9,3,13,1,20220408
Auburn,Vanderbilt,SEC,SEC,0.857,0.857,5,1,4,5,5.23,5.74,49,51,11,1,9,3,20220408
Louisiana Tech,Rice,CUSA,AAC,0.619,0.593,5,3,6,3,7.81,4.14,80,20,6,5,2,8,20220408
Maine,NJIT,AEC,AEC,0.361,0.361,3,4,6,5,6.43,6.02,56,44,2,8,5,5,20220408
Minnesota,Maryland,B10,B10,0.604,0.604,7,11,4,7,4.83,8.79,27,73,4,5,6,5,20220408
MA Lowell,UMBC,AEC,AEC,0.361,0.361,2,1,5,4,6.65,5.26,64,36,3,6,1,5,20220408
Mississippi,Alabama,SEC,SEC,0.857,0.857,4,7,6,4,6.30,4.22,72,28,10,1,12,0,20220408
Mississippi St,LSU,SEC,SEC,0.857,0.857,2,5,5,6,6.46,7.07,49,51,7,4,11,1,20220408
SE Missouri St,Murray St,OVC,MVC,0.444,0.381,11,2,6,5,7.04,5.83,62,38,6,5,7,0,20220408
Oklahoma St,Oklahoma,B12,SEC,0.703,0.857,7,8,6,5,7.16,6.54,57,43,6,4,11,0,20220408
UC San Diego,UC Irvine,BWC,BWC,0.556,0.556,7,11,4,6,4.89,6.66,38,61,7,4,8,3,20220408
Virginia Tech,NC State,ACC,ACC,0.772,0.772,21,10,6,5,6.98,6.23,59,41,8,3,6,5,20220408
Seton Hall,Xavier,BE,BE,0.4,0.4,6,2,4,6,4.20,6.49,34,66,4,7,7,5,20220408
Connecticut,St John's,BE,BE,0.4,0.4,12,7,8,3,8.53,3.42,87,13,2,7,1,8,20220408
Incarnate Word,Northwestern LA,SLC,SLC,0.648,0.648,8,2,5,4,5.99,5.47,57,42,7,5,4,7,20220408
Marist,Quinnipiac,MAAC,MAAC,0.321,0.321,17,10,8,6,9.03,6.60,68,32,2,8,4,6,20220408
Seattle,Utah Valley,WAC,WAC,0.473,0.473,5,4,6,5,6.51,6.10,56,44,2,9,4,8,20220408
Rhode Island,St Bonaventure,A10,A10,0.488,0.488,4,6,7,3,8.40,4.25,81,19,4,7,7,3,20220408
Alcorn St,Southern Univ,SWAC,SWAC,0.231,0.231,6,16,3,11,4.33,12.98,12,88,0,9,6,4,20220408
TN Martin,Austin Peay,OVC,ASUN,0.444,0.374,2,5,6,7,6.83,7.66,47,52,4,6,8,4,20220408
Prairie View,TX Southern,SWAC,SWAC,0.231,0.231,14,4,6,7,6.79,7.92,45,54,4,8,4,8,20220408
Manhattan,Siena,MAAC,MAAC,0.321,0.321,11,4,7,5,8.21,6.21,66,34,4,7,1,8,20220409
Villanova,Butler,BE,BE,0.4,0.4,6,4,5,4,6.75,5.00,67,33,6,4,4,6,20220409
G Washington,Dayton,A10,A10,0.488,0.488,3,5,5,4,5.46,5.79,50,50,6,4,6,6,20220409
Louisville,North Carolina,ACC,ACC,0.772,0.772,9,8,6,5,6.46,5.92,57,43,8,2,12,0,20220409
Rider,Fairfield,MAAC,MAAC,0.321,0.321,4,3,5,6,5.24,6.51,43,57,4,3,5,4,20220409
F Dickinson,Bryant,NEC,AEC,0.13,0.361,6,4,4,7,4.53,8.22,27,73,0,10,3,5,20220409
Wagner,Sacred Heart,NEC,MAAC,0.13,0.321,8,7,6,5,7.00,6.29,55,45,3,7,4,5,20220409
Stony Brook,SUNY Albany,CAA,AEC,0.395,0.361,3,5,6,5,6.75,5.68,61,39,3,6,3,4,20220409
Central Conn,LIU Brooklyn,NEC,NEC,0.13,0.13,10,13,5,4,6.22,4.75,66,34,2,1,4,8,20220409
Air Force,Cal Baptist,MWC,WAC,0.449,0.473,4,21,7,6,7.73,7.34,56,44,4,7,4,8,20220409
Mercer,Citadel,SC,SC,0.644,0.644,4,1,7,4,8.11,4.83,76,24,9,3,7,4,20220409
Coastal Car,Georgia St,SBC,SBC,0.557,0.557,6,7,6,4,7.80,5.12,72,28,10,2,9,2,20220409
Col Charleston,James Madison,CAA,SBC,0.395,0.557,10,9,6,5,6.68,5.23,65,35,7,4,5,6,20220409
W Carolina,ETSU,SC,SC,0.644,0.644,11,13,7,6,7.47,7.38,54,46,5,7,10,2,20220409
E Illinois,SIUE,OVC,OVC,0.444,0.444,5,4,6,5,7.18,7.13,53,47,3,6,2,9,20220409
Radford,Gardner Webb,BSo,BSo,0.515,0.515,4,3,5,6,6.28,6.95,48,52,5,5,6,7,20220409
St Joseph's PA,George Mason,A10,A10,0.488,0.488,3,9,6,5,7.71,6.23,63,37,3,7,7,4,20220409
Houston Chr,Nicholls St,SLC,SLC,0.648,0.648,6,5,5,6,5.33,6.68,42,58,7,3,5,7,20220409
North Florida,Jacksonville,ASUN,ASUN,0.374,0.374,5,3,5,4,5.50,5.38,54,46,7,5,4,7,20220409
Texas A&M,Kentucky,SEC,SEC,0.857,0.857,17,3,5,4,6.66,5.09,65,35,6,4,9,1,20220409
Michigan,CS Fullerton,B10,BWC,0.604,0.556,8,2,6,5,7.57,5.81,65,35,6,4,3,8,20220409
Bellarmine,North Alabama,ASUN,ASUN,0.374,0.374,18,3,7,6,7.94,6.79,60,39,1,9,3,7,20220409
Boston College,Pittsburgh,ACC,ACC,0.772,0.772,9,8,5,6,6.07,7.34,44,56,4,4,7,3,20220409
S Dakota St,W Illinois,SL,OVC,0.338,0.444,4,3,6,4,7.93,5.15,73,27,1,7,2,7,20220409
VCU,Davidson,A10,A10,0.488,0.488,2,7,5,4,6.37,5.13,63,37,2,9,4,6,20220409
Winthrop,Charleston So,BSo,BSo,0.515,0.515,9,7,7,6,7.36,7.41,53,47,7,4,8,2,20220409
William & Mary,Towson,CAA,CAA,0.395,0.395,8,3,7,4,7.83,4.29,79,21,4,7,3,5,20220409
WKU,Florida Intl,CUSA,CUSA,0.619,0.619,9,2,6,5,6.72,5.34,64,36,10,1,11,2,20220409
Notre Dame,Clemson,ACC,ACC,0.772,0.772,8,1,6,5,6.47,5.24,63,37,8,1,10,1,20220409
Canisius,Iona,MAAC,MAAC,0.321,0.321,13,3,9,3,10.17,3.80,89,11,0,6,1,8,20220409
Campbell,SC Upstate,CAA,BSo,0.395,0.515,14,9,7,5,8.07,5.70,68,32,4,7,6,4,20220409
Creighton,Georgetown,BE,BE,0.4,0.4,12,1,6,4,7.07,4.31,74,26,5,4,3,8,20220409
Dallas Bap,Missouri St,CUSA,MVC,0.619,0.381,17,16,6,5,7.19,5.69,64,36,8,3,4,6,20220409
Lipscomb,E Kentucky,ASUN,ASUN,0.374,0.374,6,4,5,4,5.49,4.94,58,42,3,8,0,11,20220409
Florida,Arkansas,SEC,SEC,0.857,0.857,9,7,4,5,5.10,5.70,48,52,11,1,10,1,20220409
Iowa,Illinois,B10,B10,0.604,0.604,4,2,5,4,6.11,5.00,62,37,4,6,6,4,20220409
IL Chicago,Oakland,MVC,HL,0.381,0.21,5,6,6,4,6.89,4.89,68,32,2,10,2,10,20220409
Kansas,Illinois St,B12,MVC,0.703,0.381,6,2,5,4,5.82,5.88,53,47,10,1,2,7,20220409
Tarleton St,Lamar,WAC,SLC,0.473,0.648,8,15,5,7,5.23,7.28,37,63,4,8,9,4,20220409
ULM,Troy,SBC,SBC,0.557,0.557,7,12,5,6,5.69,6.70,45,55,5,5,11,1,20220409
New Orleans,McNeese St,SLC,SLC,0.648,0.648,11,2,6,5,6.61,6.85,51,49,6,4,9,1,20220409
Ohio St,Michigan St,B10,B10,0.604,0.604,13,5,6,5,7.29,5.58,66,34,1,8,9,1,20220409
Nebraska,Rutgers,B10,B10,0.604,0.604,4,5,5,6,5.55,6.34,47,53,4,6,4,7,20220409
UNC Asheville,NC A&T,BSo,CAA,0.515,0.395,11,4,6,5,6.68,5.84,60,40,6,5,3,6,20220409
Northwestern,Penn St,B10,B10,0.604,0.604,5,4,6,5,6.80,5.55,62,37,5,5,8,1,20220409
BYU,Santa Clara,B12,WCC,0.703,0.397,9,5,5,3,6.00,4.15,70,30,7,4,6,4,20220409
SE Louisiana,TAM C. Christi,SLC,SLC,0.648,0.648,12,9,7,6,7.26,6.57,58,42,10,2,6,6,20220409
Evansville,S Illinois,MVC,MVC,0.381,0.381,6,2,5,4,6.11,6.18,53,47,3,8,8,3,20220409
Charlotte,Southern Miss,AAC,SBC,0.593,0.557,2,8,4,5,5.39,5.97,48,51,4,6,9,3,20220409
Belmont,Tennessee Tech,MVC,OVC,0.381,0.444,4,1,6,5,6.76,5.79,60,40,1,10,9,3,20220409
Wofford,UNC Greensboro,SC,SC,0.644,0.644,5,2,6,5,7.09,6.12,60,40,11,1,5,5,20220409
Old Dominion,UT San Antonio,SBC,AAC,0.557,0.593,7,8,7,6,7.47,7.01,56,44,3,7,11,3,20220409
Yale,Dartmouth,Ivy,Ivy,0.191,0.191,4,14,6,5,6.27,6.09,54,45,3,3,0,6,20220409
Harvard,Penn,Ivy,Ivy,0.191,0.191,6,27,4,6,4.84,6.99,36,64,0,6,0,6,20220409
Princeton,Cornell,Ivy,Ivy,0.191,0.191,12,3,7,6,8.30,7.50,58,42,1,7,3,2,20220409
Brown,Columbia,Ivy,Ivy,0.191,0.191,8,10,4,7,4.85,8.02,31,69,0,7,1,6,20220409
Coppin St,Norfolk St,NEC,NEC,0.13,0.13,7,8,7,6,7.58,6.68,59,41,2,7,0,8,20220409
